reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,simple_average,binding_coverage,duty_free_share
"Trinidad and Tobago",C780,,MTN,MT4,TOTAL,"All products",55.9615628575705,100,0.0151488760806916
"United Arab Emirates",C784,,MTN,MT4,TOTAL,"All products",14.4759984353868,100,0.0306116576944496
Tunisia,C788,,MTN,MT4,TOTAL,"All products",57.9341851318411,57.9823889739663,0
Türkiye,C792,,MTN,MT4,TOTAL,"All products",28.5470191998124,50.2871362940276,0.0594239817282071
Uganda,C800,,MTN,MT4,TOTAL,"All products",72.8683035714286,16.6326341191758,0
Ukraine,C804,,MTN,MT4,TOTAL,"All products",5.76428099530561,100,0.313917375162428
"North Macedonia",C807,,MTN,MT4,TOTAL,"All products",7.01662058391865,100,0.394973900129942
Egypt,C818,,MTN,MT4,TOTAL,"All products",36.5806374653142,99.3467819404419,0.0189283504157803
Tanzania,C834,,MTN,MT4,TOTAL,"All products",120,14.0894746612215,0
"United States of America",C840,,MTN,MT4,TOTAL,"All products",3.42628360759315,99.9802058590657,0.465108572559889
"Burkina Faso",C854,,MTN,MT4,TOTAL,"All products",43.8019368723099,38.8156673473176,0.0185981826877092
Uruguay,C858,,MTN,MT4,TOTAL,"All products",31.6319245657122,100,0
"Venezuela, Bolivarian Republic of",C862,,MTN,MT4,TOTAL,"All products",36.4976191252453,99.9804420105613,0
Samoa,C882,,MTN,MT4,TOTAL,"All products",21.3416552153561,99.9814367922777,0
Yemen,C887,,MTN,MT4,TOTAL,"All products",21.7205695751354,100,0.000634230555039911
Montenegro,C893,,MTN,MT4,TOTAL,"All products",5.30236827583541,100,0.309882810469649
Zambia,C894,,MTN,MT4,TOTAL,"All products",106.725053078556,17.4865416744013,0
"European Union",U918,,MTN,MT4,TOTAL,"All products",4.98666097878144,100,0.292411887442573
