iso3,quarter_t,gdp_current_usd,total_exports_usd_k,total_imports_usd_k,population,tariff_ahs_weighted,tariff_mfn_weighted,vax_q,TCU
NZL,2019Q4,212958.248,43354922.42,42038566.67,4.9894025,28.3,29.33,43354922.42,76.96305000000001
NZL,2020Q1,210593.1924429777,93826770.37691496,76048632.19052711,5.011697018156284,26.51491705216585,27.768772578573216,93826770.37691496,76.96305000000001
NZL,2020Q2,208412.12152030147,137900644.58340007,105793288.7981893,5.033135467454059,23.36034710569501,24.549186675839504,137900644.58340007,76.96305000000001
NZL,2020Q3,208346.24231762948,133778644.17423606,103422269.32660842,5.052949611765357,19.549197420932572,20.53189116393021,133778644.17423606,
NZL,2020Q4,212401.174,38148805.51,40068135.7,5.069895,15.89,16.68,38148805.51,
NZL,2021Q1,221435.78895979308,-153047374.51581448,-87027785.80275117,5.083010414434703,13.206751541109714,13.970348187215988,-153047374.51581448,
NZL,2021Q2,233379.30638808303,-322246226.22108716,-199744394.57645977,5.093244335538152,12.14585143869708,13.195119226054707,-322246226.22108716,
NZL,2021Q3,245107.21375375905,-309329944.6900585,-191677696.14717463,5.101257736669217,13.529485958984278,15.339529998824831,-309329944.6900585,
NZL,2021Q4,253227.472,49928447.97,46316762.07,5.1076965,18.16,21.36,49928447.96999999,
NZL,2022Q1,255438.78964596853,836398996.3222485,568029057.6447754,5.113197658141123,18.16,21.36,836398996.3222485,
NZL,2022Q2,253370.16741871892,1939979400.54889,1300363091.6332798,5.118613727766626,18.16,21.36,1939979400.54889,
NZL,2022Q3,249338.04456135817,3179163404.640587,2122817801.5191455,5.124591574515233,,,3179163404.640587,
NZL,2022Q4,245845.23,4348309999.999999,2898870000.0,5.1317345,,,4348309999.999999,
NZL,2023Q1,244846.76936741275,5237051377.813108,3488854319.6224484,5.140310450129464,,,5237051377.813108,
NZL,2023Q2,246092.05581017592,5691690181.32435,3790725649.5098696,5.150318602320706,,,5691690181.32435,
NZL,2023Q3,248932.81645539525,5505780416.201982,3667425137.990301,5.161348864170754,,,5505780416.201982,
NZL,2023Q4,252631.7148,4476610000.0,2984370000.0,5.172836,,,4476610000.0,
PHL,2005Q4,107420.0,53696358.9,64143326.72,88.0159615,3.35,5.19,53696358.9,80.17273333333333
PHL,2006Q1,111841.17530671724,54881434.630034186,66033300.94610136,88.3771286273507,3.3036644513559654,5.140234375367783,54881434.630034186,80.60476666666666
PHL,2006Q2,116654.11733616496,56132421.52718401,68054905.03482468,88.74698538980809,3.201600945560309,5.052410735646161,56132421.52718401,80.74220000000001
PHL,2006Q3,121923.58991753162,57514267.515353896,70142336.61415777,89.12563488631794,3.062980052115966,4.942801896586193,57514267.515353896,80.61796666666667
PHL,2006Q4,127653.0,59077875.84,72203257.57,89.508986,2.91,4.83,59077875.839999996,80.26896666666666
PHL,2007Q1,133755.05526942183,60845083.9304573,74125887.81357007,89.88850210108191,2.766958160278502,4.733664709378408,60845083.9304573,80.41106666666667
PHL,2007Q2,140477.11863700222,62932668.23553257,75907909.56855284,90.27670794492175,2.6495218083154226,4.667487608818409,62932668.23553257,80.88213333333333
PHL,2007Q3,147890.90083573287,65413797.57117985,77474483.95920631,90.67369987566406,2.5795932691691204,4.65001997747054,65413797.57117985,80.77623333333334
PHL,2007Q4,155980.0,68331567.01,78734383.01,91.075184,2.58,4.7,68331567.01,80.9464
PHL,2008Q1,164479.0290269656,71550453.5040251,79531863.96221808,91.47641434474892,2.662537003604532,4.824663469381642,71550453.5040251,80.75423333333333
PHL,2008Q2,172426.20353647496,74363452.50408617,79424997.50332461,91.88039324186518,2.80753744225742,4.998500556222857,74363452.50408615,79.7066
PHL,2008Q3,178608.38889447984,75880661.46767576,77851587.78594598,92.28997829695352,2.989838888868722,5.189305087865248,75880661.46767576,77.06583333333333
PHL,2008Q4,181625.0,75141469.48,74253753.88,92.6990945,3.18,5.36,75141469.48,73.57866666666666
PHL,2009Q1,180844.3924829547,71792851.57081048,68631056.17231114,93.09876355131271,3.346142569657813,5.4793036889812985,71792851.57081048,69.22233333333334
PHL,2009Q2,178052.1136177639,67164442.21042089,62279703.82177028,93.5083224168659,3.464728974784443,5.547426533185629,67164442.21042089,67.108
PHL,2009Q3,175601.23832699735,63123823.797781624,57074031.57884592,93.93568354613146,3.5035759618219804,5.564154463157524,63123823.797781624,68.1631
PHL,2009Q4,175975.0,61658611.48,55011226.57,94.38425,3.43,5.53,61658611.48,69.49936666666667
PHL,2010Q1,180759.8520759918,64010552.7092234,57266005.60114609,94.84828891562228,3.2372272639477084,5.454187529859905,64010552.7092234,71.28696666666667
PHL,2010Q2,188946.4968487724,69142305.65613897,62523818.30924862,95.33585349189272,2.9821256682344335,5.363738182937955,69142305.65613897,73.17823333333332
PHL,2010Q3,198799.90234409765,75456323.23058967,68869557.82753412,95.83734779345144,2.7444716648171834,5.293415111258569,75456323.23058967,74.57026666666667
PHL,2010Q4,208369.0,81191867.02,74211412.35,96.337125,2.61,5.28,81191867.02,75.09500000000001
PHL,2011Q1,216064.1122502976,84975762.73720028,76965526.54397875,96.8166437013831,2.634268301444011,5.345251327344355,84975762.73720028,75.60456666666666
PHL,2011Q2,222470.62879052293,87266666.7474392,77680627.14879093,97.29348575945352,2.7733161208329262,5.467778940796498,87266666.7474392,75.79986666666667
PHL,2011Q3,228293.03203019712,88732626.94466245,77213795.37662408,97.7712569537946,2.962191391356044,5.614801893233337,88732626.94466245,76.40249999999999
PHL,2011Q4,234217.0,90071980.42,76488235.67,98.2486145,3.13,5.75,90071980.42,76.76616666666666
PHL,2012Q1,240740.69072692408,91825345.41222791,76233417.60101163,98.72353098501232,3.223515394672539,5.845779584061151,91825345.41222791,77.06173333333334
PHL,2012Q2,247748.8134954665,93897826.92399924,76326996.31549422,99.2014854763539,3.2609428307988773,5.910714905316834,93897826.92399924,77.12526666666666
PHL,2012Q3,254958.21028257,96039947.21544786,76450198.60734202,99.6873649657499,3.2753279190776348,5.960508258698898,96039947.21544786,76.73880000000001
PHL,2012Q4,261921.0,97949121.17,76273613.28,100.1755125,3.3,6.01,97949121.17000002,76.76943333333332
PHL,2013Q1,268197.00759428664,99425143.7011994,75621513.73140024,100.65408967476118,3.353917450760704,6.064792018156566,99425143.7011994,77.03093333333334
PHL,2013Q2,273959.77616699866,100784265.16930844,74815160.92694215,101.13479467344946,3.405462788894692,6.098668627368693,100784265.16930844,77.07566666666666
PHL,2013Q3,279210.37794166023,102399816.64824824,74329028.07051553,101.6123865856454,3.407114766295408,6.073327590808151,102399816.64824824,77.12216666666667
PHL,2013Q4,283903.0,104640779.01,74659271.09,102.076336,3.31,5.95,104640779.01,77.452
PHL,2014Q1,287974.4392603335,107608196.0725544,76053753.19388202,102.51328662532592,3.0911602666583056,5.716780046198374,107608196.0725544,77.84320000000001
PHL,2014Q2,291593.26461164764,110739982.91128051,78055139.72749157,102.93972599844166,2.7912912908805847,5.427949023815498,110739982.91128051,78.6386
PHL,2014Q3,294768.6016158424,113164474.92152284,79985891.11168788,103.3582204541871,2.474107912590728,5.163610232903768,113164474.92152284,78.79873333333333
PHL,2014Q4,297484.0,113955943.65,81117418.86,103.76713,2.21,5.01,113955943.64999999,79.00123333333333
PHL,2015Q1,299753.48316588916,112618754.48107338,80966885.24730085,104.16023017701868,2.0525114615530127,5.021132779659955,112618754.48107336,78.14133333333334
PHL,2015Q2,301853.8044652583,109945160.58533189,79874459.92273101,104.55042863358672,1.9816058088838924,5.1433823929452425,109945160.58533187,76.92093333333334
PHL,2015Q3,304013.0813805583,107058869.34376566,78351581.30669184,104.93646966983547,1.9704472808921736,5.300407497442238,107058869.34376566,76.81136666666667
PHL,2015Q4,306446.0,105170754.58,76957535.29,105.3129915,1.99,5.41,105170754.58,75.75326666666666
PHL,2016Q1,309279.87433354283,105148967.7005152,76156035.21151157,105.67565133713563,2.0139715763333372,5.412894174636345,105148967.7005152,75.29866666666668
PHL,2016Q2,312392.45508675365,106616777.88005556,76014080.13917759,106.0306278678182,2.0335603816205294,5.336393625888756,106616777.88005556,74.772
PHL,2016Q3,315595.753815681,108953689.02552764,76534754.1175773,106.38438757453832,2.043982566617887,5.225884310052981,108953689.02552764,74.9959
PHL,2016Q4,318627.0,111480922.71,77716921.84,106.735719,2.04,5.13,111480922.70999998,75.12266666666666
PHL,2017Q1,321265.55655621056,113727040.94012134,79530980.63413332,107.0790919345048,2.019554320913104,5.085099003643616,113727040.94012134,75.476
PHL,2017Q2,323692.5829363581,116318581.95463008,82141144.26506847,107.42555786266892,1.988603364750194,5.076332593190863,116318581.95463008,76.46283333333334
PHL,2017Q3,326054.61909405974,120076480.99810705,85715737.80330627,107.77404960843327,1.9556544022835147,5.079743369643333,120076480.99810705,76.2727
PHL,2017Q4,328481.0,125799186.31,90375624.19,108.1196935,1.93,5.07,125799186.31000002,77.5913
PHL,2018Q1,331143.06953487324,133390471.09258775,95743213.00609156,108.45439588436584,1.918257097830086,5.030653245081865,133390471.09258775,77.87043333333334
PHL,2018Q2,334661.19400133216,140283446.0523806,100176769.87634362,108.79012498190168,1.9164701492226337,4.974606237797123,140283446.0523806,78.479
PHL,2018Q3,339691.9540805003,142852449.3759679,101387573.17742728,109.12793513898,1.9190398604152124,4.923389129886501,142852449.3759679,79.10473333333333
PHL,2018Q4,346842.0,137351788.29,97024300.51,109.4652865,1.92,4.9,137351788.29,79.4413
PHL,2019Q1,356024.8655950296,123222234.46862976,86876498.20692271,109.79571794805844,1.915240904729307,4.919133295284072,123222234.46862976,78.62053333333334
PHL,2019Q2,365685.69387190265,109794292.49392098,77283457.18451953,110.13003068334204,1.9073539424097377,4.969241906955683,109794292.49392098,77.75146666666667
PHL,2019Q3,373459.9283398884,109731706.6374517,76836744.76840496,110.46774270081352,1.9007266184004687,5.032664650972149,109731706.6374517,77.58616666666667
PHL,2019Q4,376823.0,136053277.19,94371725.13,110.8046835,1.9,5.09,136053277.19,76.96305000000001
PHL,2020Q1,374408.5569635593,190908073.78256077,131383694.95687084,111.13600264188604,1.9080899978965984,5.1254442541975695,190908073.78256077,76.96305000000001
PHL,2020Q2,368777.6540764815,238218195.7976137,163578887.58294106,111.46131967639698,1.9220185951191704,5.1379802147383,238218195.79761374,76.96305000000001
PHL,2020Q3,363348.7525209234,231523322.73005924,159672187.35359043,111.77925244373932,1.9375468473922,5.129025956068787,231523322.73005924,
PHL,2020Q4,361751.0,122722239.34,87263105.03,112.081264,1.95,5.1,122722239.34,
PHL,2021Q1,366295.1945705341,-92032214.03862128,-56420220.06209113,112.3576995475604,1.954839854517952,5.053797481583285,-92032214.03862128,
PHL,2021Q2,375164.7164819406,-279188233.6024928,-182176647.22263044,112.619094329171,1.9479748549853213,4.990792520658254,-279188233.6024928,
PHL,2021Q3,385479.02743376035,-257030139.3725181,-168598614.1172898,112.8670785516179,1.9245429953418065,4.912098400868715,-257030139.3725181,
PHL,2021Q4,394087.0,160694229.05,108774557.15,113.10095,1.88,4.82,160694229.05,
PHL,2022Q1,398701.27009089367,1063034031.9865074,709548421.4219768,113.31871152496582,1.88,4.82,1063034031.9865074,
PHL,2022Q2,400654.21980169136,2313271272.606704,1542540146.9116793,113.5323009346634,1.88,4.82,2313271272.606704,
PHL,2022Q3,401850.360641057,3690137642.6590247,2460182201.270195,113.74658012695296,,,3690137642.6590247,
PHL,2022Q4,404284.0,4945060000.0,3296700000.0,113.9643385,,,4945060000.0,
PHL,2023Q1,409371.2079702373,5827704474.718496,3885137273.936409,114.18460239295366,,,5827704474.718496,
PHL,2023Q2,416943.7389599085,6145813886.683471,4097257420.088846,114.4139954746126,,,6145813886.683471,
PHL,2023Q3,426311.9631710504,5647880800.677929,3765325019.3976007,114.65095957816854,,,5647880800.677929,
PHL,2023Q4,436622.0,4090480000.0,2726990000.0,114.891199,,,4090480000.0,
SGP,2005Q4,127808.0,181039454.58,151300715.2,4.2683635,3.86,4.58,181039454.58,80.17273333333333
SGP,2006Q1,129933.12207668176,192902948.4300163,160462513.43365383,4.296907566217793,3.8522548111881103,4.832053226230589,192902948.4300163,80.60476666666666
SGP,2006Q2,134455.15856024635,201393869.55706027,166739024.32687184,4.329711607594918,3.778338791445592,4.852657974285133,201393869.55706027,80.74220000000001
