date,reporter_iso,partner_iso,A,S_total,HL
2016-03-31,MYS,KHM,-0.10196247496083989,0.03366710086122508,5.0
2016-03-31,MMR,KHM,0.6988109142355736,0.029539403347767883,0.0
2016-03-31,NZL,KHM,0.9398794051489446,0.027379062395504944,0.0
2016-03-31,PHL,KHM,0.18415441988786047,0.01998809741024609,0.0
2016-03-31,SGP,KHM,0.19288519248169944,0.029275825421072276,0.0
2016-03-31,THA,KHM,0.02783148331891539,0.03820112306869933,0.0
2016-03-31,VNM,KHM,0.3959967310315881,0.012737644515390261,0.0
2016-03-31,AUS,CHN,0.5364743783656847,0.050813654347349184,0.0
2016-03-31,BRN,CHN,0.8292879853933793,0.0638448738655755,0.0
2016-03-31,KHM,CHN,0.9102093554549842,0.06687054678899003,0.0
2016-03-31,IDN,CHN,0.4189984509021787,0.07723812739279377,0.0
2016-03-31,JPN,CHN,0.7600778044499312,0.05735368281958917,0.0
2016-03-31,KOR,CHN,0.7518870235514765,0.046866963020408256,0.0
2016-03-31,LAO,CHN,0.8003522620648236,0.06496033950076666,0.0
2016-03-31,MYS,CHN,0.5949768058808629,0.051334675830270356,0.0
2016-03-31,MMR,CHN,0.38833311450521857,0.05705180005746017,0.0
2016-03-31,NZL,CHN,0.2618365841508083,0.04426916123563125,0.0
2016-03-31,PHL,CHN,0.1388165113932095,0.03822099137171146,0.0
2016-03-31,SGP,CHN,0.80924263032923,0.04620176101320603,0.0
2016-03-31,THA,CHN,0.44024125248538964,0.06323721041476747,0.0
2016-03-31,VNM,CHN,0.01595159826680442,0.02595349322404208,5.0
2016-03-31,AUS,IDN,0.37352605754197754,0.061857528988613276,0.0
2016-03-31,BRN,IDN,0.8054259745117981,0.07576486328013643,0.0
2016-03-31,KHM,IDN,0.6845841742971338,0.08369065613397238,0.0
2016-03-31,CHN,IDN,0.4090077144810704,0.052511874908551796,0.0
2016-03-31,JPN,IDN,0.3779221877304227,0.0698861263965063,0.0
2016-03-31,KOR,IDN,0.42568085181505816,0.05776420501963749,0.0
2016-03-31,LAO,IDN,0.7133728354415722,0.08119622465350378,0.0
2016-03-31,MYS,IDN,0.23643438781079376,0.059736823711711205,0.0
2016-03-31,MMR,IDN,0.4656695762079051,0.0668426267911974,0.0
2016-03-31,NZL,IDN,0.136794476007382,0.051975793145845425,0.0
2016-03-31,PHL,IDN,-0.02365493574814375,0.04597252070591637,0.0
2016-03-31,SGP,IDN,0.4930189462485056,0.057476131446892495,0.0
2016-03-31,THA,IDN,0.08793312670186643,0.07814838377296797,0.0
2016-03-31,VNM,IDN,0.26456258039661473,0.026140073276648756,7.0
2016-03-31,AUS,JPN,0.34893020000101216,0.05272313550547812,0.0
2016-03-31,BRN,JPN,0.866142459859967,0.06761570128536606,0.0
2016-03-31,KHM,JPN,0.1837039552803012,0.06690373710076901,0.0
2016-03-31,CHN,JPN,0.6909373125364293,0.04023614103429653,0.0
2016-03-31,IDN,JPN,0.3064170951481499,0.08191023112692704,0.0
2016-03-31,KOR,JPN,0.14109790946681794,0.05102243147392556,0.0
2016-03-31,LAO,JPN,0.773230677142112,0.06741256997846753,0.0
2016-03-31,MYS,JPN,0.11512812861879952,0.0514805249558353,0.0
2016-03-31,MMR,JPN,0.6285651894059261,0.05307424427311437,0.0
2016-03-31,NZL,JPN,0.17132318090389376,0.04225619700358638,0.0
2016-03-31,PHL,JPN,-0.12013168732943326,0.03961216758742204,0.0
2016-03-31,SGP,JPN,0.3400162056714448,0.04963970784132691,0.0
2016-03-31,THA,JPN,-0.06987738447886084,0.06796004301056092,0.0
2016-03-31,VNM,JPN,0.6721714222903278,0.02151436148878057,0.0
2016-03-31,AUS,KOR,0.4248338656974489,0.05188366680521688,0.0
