iso3,quarter_t,gdp_current_usd,gdp_ppp_current_usd,total_exports_usd_k,total_imports_usd_k,population,exchange_rate,tariff_ahs_weighted,tariff_mfn_weighted
BRN,2006Q2,2854.7985877218034,6657.5701260258065,462736.0283735597,1995704.7628923599,0.36391966258593617,1.5987022424232087,2.0538782772775424,4.045256204044118
BRN,2006Q3,2944.4803441597815,6694.624913073436,516100.9129953501,2050158.7961263843,0.36541114270640707,1.5790741847561596,1.9776939883474576,3.8666187959558824
BRN,2006Q4,2970.115553716176,6679.949561021822,606175.9262482305,2008173.3453416564,0.36692649211771255,1.5590710109124257,1.8625099311440676,3.6516486672794115
BRN,2007Q1,2959.2403955940463,6669.849647939853,824443.1326603694,1879968.9089834392,0.36847339272169566,1.538645197318795,1.7428184586864406,3.4491142003676467
BRN,2007Q2,2991.122848956231,6681.218407936838,1029551.3711822471,1823495.563862685,0.3700608035519834,1.5177453790850766,1.6621259269067796,3.3190705422794116
BRN,2007Q3,3077.8607241810932,6666.19687999849,1059342.9967609383,1907507.849939622,0.3717001182253007,1.4950362617745958,1.6504296875,3.3150390625
BRN,2007Q4,3219.454021268626,6624.785064124822,913818.009396445,2132005.7672142535,0.3734025084358449,1.4660931036764224,1.6531640625,3.4107421874999995
BRN,2008Q1,3533.635295754866,6578.19839932234,731980.2109086644,2637102.0574408695,0.3751476921031884,1.4380911226358535,1.6568359375,3.5392578125
BRN,2008Q2,3780.309201658165,6545.487460327713,658047.2934479741,3039490.4544839896,0.3769115753595816,1.4198594883177995,1.6595703124999999,3.6349609374999994
BRN,2008Q3,3721.6955104516455,6514.962095502677,625124.3012696523,3007405.08352156,0.3786748256985055,1.418773809952344,1.639375,3.6391927083333333
BRN,2008Q4,3357.7942221353223,6486.622304847275,633211.2343737092,2540845.94455358,0.3804504888059425,1.4290010851945312,1.508125,3.564453125
BRN,2009Q1,2841.8148133441937,6432.76255560822,630264.8813585341,1946179.4418932907,0.38224113682937333,1.4427348548054686,1.331875,3.4449218750000004
BRN,2009Q2,2556.6598949664185,6386.780040104262,612893.1179110315,1667332.409921065,0.3840455329313086,1.4529621300476563,1.2006249999999998,3.3118489583333335
BRN,2009Q3,2540.571295811118,6393.078887248019,631443.0932762474,1619901.8615138903,0.3858665082706339,1.4519935319284623,1.1803373579545453,3.181276041666667
BRN,2009Q4,2793.5490158782704,6451.659097039505,685914.8074541874,1803887.7966717556,0.3877179673259714,1.4343522832490427,1.1829723011363638,3.0044531250000004
BRN,2010Q1,3096.1648464559985,6512.632182650821,722608.1675439402,2023764.4666010067,0.38957905978629875,1.406646196194238,1.1880788352272726,2.8261718750000004
BRN,2010Q2,3292.821450107338,6550.284518266941,757938.1242591701,2148522.258062616,0.3914238377150922,1.3767810902117354,1.195486505681818,2.707682291666667
BRN,2010Q3,3525.1483668256624,6601.647777808044,853812.245857615,2308182.1132308096,0.39323565453089926,1.3498247304712117,1.221700994318182,2.7505859375
BRN,2010Q4,3793.145596611008,6666.72196127419,1010230.5323392749,2502744.032105565,0.3950429841165031,1.3171328746010469,1.3384836647727274,3.1361328124999996
BRN,2011Q1,4229.798371127195,6752.935111819155,1331504.590767229,2814911.746884443,0.396825637095365,1.2849955176066403,1.4904651988636366,3.6538671874999995
BRN,2011Q2,4654.390346852655,6827.518904549623,1658725.5090708658,3119831.5320289433,0.3985539687013059,1.2625938491990423,1.6024751420454548,4.0394140625
BRN,2011Q3,4843.578120362727,6866.661133865244,1808127.2241518237,3272372.7925722525,0.4002028893834336,1.256073936690464,1.619011600378788,4.0538052083333325
BRN,2011Q4,4797.361691657425,6870.361799765989,1779709.736010082,3272535.528514363,0.40178618050296055,1.2530062729857232,1.6116370738636363,3.7540156249999996
BRN,2012Q1,4747.739451122456,6887.981215521926,1707018.4340810254,3323230.2390144244,0.4033198837557061,1.2508481325633087,1.5982492897727274,3.3327343749999994
BRN,2012Q2,4804.483953637813,6916.8072692917485,1729719.8426033892,3427098.954239033,0.40481727393727746,1.2497141386990842,1.5802687026515152,2.976011458333333
BRN,2012Q3,4790.483086257664,6906.123591884942,1784101.8342611827,3382552.190112278,0.4062867529387393,1.2495959948774593,1.5560755681818184,2.8243791666666667
BRN,2012Q4,4705.736848982066,6855.930183301389,1870164.4090544023,3189589.946634263,0.4077144385722589,1.2498175376832212,1.509008522727273,2.7246875
BRN,2013Q1,4612.961038037582,6802.020068391925,2063174.6273667887,2960417.0631894916,0.409114049418648,1.250234341414744,1.4378551136363638,2.6485625
BRN,2013Q2,4556.34659135023,6767.433489535906,2215828.9864485003,2824454.115204394,0.41050440812368394,1.250818981501591,1.3444607954545456,2.6058041666666667
BRN,2013Q3,4495.273181656303,6727.897543071973,2179208.674540855,2734206.55100742,0.411900766778824,1.251747388288335,1.193988541666667,2.6030078125
BRN,2013Q4,4429.7408089558885,6683.412229000183,1953313.6916438565,2689674.3705986887,0.4132936062046172,1.2541814856075484,0.8372656249999999,2.6221484375
BRN,2014Q1,4453.766562844932,6625.402656383434,1682761.0805972293,2750004.9441187084,0.4146804978831829,1.2582185410258078,0.41598437499999974,2.6478515625
BRN,2014Q2,4452.27286563805,6574.817199543992,1540320.897796467,2758323.9710407853,0.41606181512881607,1.263749047073898,0.11619479166666635,2.6669921874999996
BRN,2014Q3,4273.703838896588,6550.704936580296,1467761.128599614,2577046.9309610426,0.41743802787592926,1.2741578009616874,0.07032790492957747,2.669140625
BRN,2014Q4,3918.059482620418,6553.065867492289,1465081.7730066925,2206173.8238794655,0.41880954866517994,1.3041575681538493,0.07291153169014085,2.663671875
BRN,2015Q1,3523.042210534186,6572.844694363477,1530102.3607933074,1833703.6648571491,0.4201754661676543,1.3414329493897965,0.07797755281690141,2.656328125
BRN,2015Q2,3268.0491137528734,6575.068599699065,1542629.0640773252,1625208.1342571825,0.4215347123793934,1.3694916234920138,0.08542033450704226,2.650859375
BRN,2015Q3,3105.076324109308,6551.306472667668,1444745.439142011,1475474.0572000444,0.4228867036093416,1.3763499281375915,0.12336872799295773,2.65
BRN,2015Q4,3034.123841603636,6501.558313269808,1236451.4859873578,1384501.4336856306,0.42423299152778443,1.378726635859005,0.31401463468309854,2.65
BRN,2016Q1,2934.3907323137973,6425.05864346202,1015627.7493488714,1267780.7331003696,0.4255722610355512,1.380378110266028,0.5650962808098592,2.65
BRN,2016Q2,2811.3690477928903,6369.704212154727,892074.098911196,1151626.8978912383,0.42690268092021505,1.3812364050674235,0.7508830325704227,2.65
BRN,2016Q3,2788.6057477395516,6360.2088718464365,822809.9247811586,1133706.9298954308,0.42822300486195014,1.381339581273746,0.7524831814236111,2.6538671875
BRN,2016Q4,2866.100832153752,6396.572622536798,807835.226958774,1214020.829112962,0.42953505604622494,1.3812816665522054,0.5761865234375001,2.6784765624999998
BRN,2017Q1,2947.463117481937,6448.411698487296,755094.6287776455,1310181.5693798065,0.43083795881684234,1.3811669878463844,0.3356233723958334,2.7115234375000004
BRN,2017Q2,2984.8526849531627,6474.897204263951,693881.698645927,1362902.9770068526,0.43213026874081456,1.3809967459255958,0.14769476996527786,2.7361328125
BRN,2017Q3,3050.7407587356283,6485.9984578881995,730898.5974341556,1424928.991313517,0.4334108712622649,1.379431340891982,0.09894585503472222,2.7258203125000002
BRN,2017Q4,3145.1273388292757,6481.7154593605665,866145.3251422718,1496259.6122998297,0.43468080504224,1.3706432005376,0.08054850260416667,2.6355859375
BRN,2018Q1,3287.205804134195,6452.140700635326,1149289.0166441575,1609121.5410395414,0.4359402430939123,1.35895591536381,0.0676416015625,2.5144140625
BRN,2018Q2,3407.4343484106066,6437.834268346371,1389823.989937313,1713840.140046373,0.43718908453460625,1.3502801022086761,0.06087619357638889,2.4241796875
BRN,2018Q3,3451.8486896381364,6468.983713855443,1442830.2691465616,1753351.3895034045,0.43842718929824853,1.349365549257494,0.06259615384615386,2.415602756076389
BRN,2018Q4,3420.4488278170757,6545.589037162834,1308307.8542719707,1727655.2894106805,0.43965452172443886,1.3524067631370162,0.07990384615384616,2.4552587890625004
BRN,2019Q1,3410.4233366232074,6647.787488099246,1133667.1999356598,1675787.0101291537,0.44087170923834534,1.3571228452794022,0.10567307692307694,2.5213688151041667
BRN,2019Q2,3426.997679315071,6722.837416249502,1065174.7002527043,1661648.3090342134,0.4420794518177175,1.3620880437368346,0.13067307692307695,2.600156792534722
BRN,2019Q3,3375.596013845934,6764.230746575107,1028553.0976585373,1678154.8944525123,0.4432802676573022,1.3663569322725406,0.14780999599358977,2.691015082465278
BRN,2019Q4,3256.218340215797,6771.96747907612,1023802.3921530992,1725306.7663841248,0.44448058113678135,1.371372707698723,0.16336989182692307,2.8408968098958334
