country,indicator,v1960,v1961,v1962,v1963,v1964,v1965,v1966,v1967,v1968,v1969,v1970,v1971,v1972,v1973,v1974,v1975,v1976,v1977,v1978,v1979,v1980,v1981,v1982,v1983,v1984,v1985,v1986,v1987,v1988,v1989,v1990,v1991,v1992,v1993,v1994,v1995,v1996,v1997,v1998,v1999,v2000,v2001,v2002,v2003,v2004,v2005,v2006,v2007,v2008,v2009,v2010,v2011,v2012,v2013,v2014,v2015,v2016,v2017,v2018,v2019,v2020,v2021,v2022,v2023,v2029,v2024,v2025,v2026,v2027,v2028,pop2029
JAM,POP,1.6500055,1.6732605,1.696932,1.7210985,1.745568,1.769192,1.7914745,1.812865,1.8337655,1.855127,1.878196,1.9037285,1.9315415,1.9612195,1.9909055,2.018981,2.045578,2.0706575,2.094836,2.119486,2.145658,2.173818,2.2038885,2.234832,2.264562,2.290656,2.312125,2.329813,2.345777,2.361916,2.379877,2.4008685,2.424701,2.4499155,2.4752205,2.5001505,2.5244625,2.547848,2.569736,2.589795,2.607826,2.624403,2.6405715,2.656623,2.672225,2.6870655,2.7009675,2.7138005,2.7256345,2.736995,2.7485675,2.7604935,2.77243,2.783687,2.793749,2.802534,2.809915,2.8157635,2.8200975,2.823271,2.830739,2.8376815,2.839144,2.839786,NA,2.839175,2.8370775,2.8334035,2.8285295,2.8228675,2816.397
JOR,POP,0.853471,0.8975905,0.9405545,0.984714,1.0356405,1.0994405,1.1783595,1.271183,1.3724605,1.4730995,1.565163,1.6451445,1.7145555,1.778094,1.839182,1.899055,1.9581765,2.019002,2.0835955,2.153882,2.2341865,2.325517,2.4269265,2.5373075,2.654688,2.77881,2.9098865,3.047634,3.193039,3.349627,3.621908,3.9151495,4.1276925,4.3480195,4.561406,4.752096,4.912516,5.046285,5.1642845,5.2764445,5.3869455,5.498894,5.6160665,5.7418285,5.8820615,6.0295875,6.427371,6.827227,6.989866,7.1417535,7.2970435,7.480424,7.5871275,7.991809,8.7917105,9.544729,10.0063665,10.234226,10.462306,10.6718915,10.8652275,11.066356,11.2562635,11.4392135,NA,11.552876,11.5206845,11.5895325,11.8194635,12.03446,12245.7315
JPN,POP,96.3997535,97.2175935,98.0764055,98.958231,99.890178,100.9160195,101.887835,102.9655275,104.237471,105.4751695,106.712368,107.9520295,109.238955,110.6147365,112.009694,113.321196,114.5027955,115.574277,116.5769445,117.521556,118.358756,118.9940535,119.485775,119.9489465,120.384394,120.8321635,121.3667345,121.943587,122.4769525,122.947413,123.3997645,123.8898705,124.3837075,124.839958,125.2868605,125.672665,125.975302,126.265929,126.549181,126.801564,127.027789,127.260148,127.484598,127.6712515,127.815774,127.9133305,127.9972475,128.087682,128.15599,128.1924695,128.185275,128.0964325,127.928285,127.7236455,127.4866045,127.2758725,127.159951,127.06469,126.9134325,126.6994235,126.304543,125.679338,124.997578,124.3709465,NA,123.753041,123.103479,122.427731,121.7323405,121.024348,120308.089
KAZ,POP,9.429981,9.7420845,10.0589285,10.3774655,10.6903095,10.9931835,11.2889895,11.5844285,11.879182,12.156212,12.419057,12.684813,12.951798,13.2081215,13.4545705,13.7008425,13.998738,14.353265,14.711497,14.978696,15.1529485,15.3230815,15.492595,15.665551,15.844621,16.0310895,16.2627025,16.527715,16.7811685,16.997013,17.1540545,17.2786,17.3326245,17.2744875,17.0437715,16.730536,16.416027,16.0432505,15.6477855,15.4558745,15.5011025,15.57555,15.6566775,15.7473805,15.8501595,15.9681165,16.1037155,16.257214,16.426525,16.619846,16.8368105,17.0660025,17.306106,17.556502,17.816285,18.084169,18.3635995,18.651931,18.9327265,19.209555,19.482117,19.743603,20.034609,20.330104,NA,20.592571,20.8437545,21.0836265,21.3161775,21.547643,21777.015
KEN,POP,7.695307,7.9877695,8.2993085,8.627971,8.9735355,9.3380785,9.717816,10.1110565,10.5188225,10.939695,11.3687915,11.788904,12.2060605,12.634835,13.070078,13.5116705,13.957623,14.428819,14.9341255,15.460666,16.018459,16.6015075,17.206175000000002,17.8463735,18.514906,19.2017675,19.901646,20.6160965,21.356219,22.118434,22.8926515,23.6465135,24.3824595,25.117188,25.85713,26.6017515,27.344211,28.1017675,28.8880575,29.7334075,30.64289,31.61917,32.6298085,33.652223,34.7134555,35.796484,36.904008,38.0363495,39.2063515,40.408891,41.5985665,42.758461,43.888303,44.9867905,46.0514405,47.088526,48.139687,49.1977655,50.2071075,51.2028275,52.2173335,53.2191655,54.2524605,55.3390025,NA,56.4329445,57.5324925,58.6364115,59.7457525,60.8604445,61979.1865
KGZ,POP,2.2155085,2.288666,2.367294,2.4492425,2.532151,2.615057,2.6976335,2.780169,2.8628935,2.9448405,3.0251425,3.101442,3.173944,3.24487,3.3140215,3.3813625,3.447005,3.514121,3.584523,3.6561885,3.7293735,3.8044555,3.8828115,3.9657585,4.0393475,4.1023915,4.1685935,4.2384675,4.308017,4.382001,4.4595435,4.532116,4.6003105,4.626803,4.649185,4.7136345,4.7828815,4.8479935,4.9077905,4.9685865,5.0251455,5.0719555,5.116254,5.1594215,5.203041,5.246332,5.2824525,5.313368,5.3425195,5.3980075,5.4917605,5.594535,5.696519,5.7972895,5.8983195,6.001882,6.1084615,6.2201495,6.341732,6.494035,6.6641395,6.8204785,6.955788,7.0735155,NA,7.186009,7.2950345,7.4004645,7.50368,7.6049905,7704.6075
KHM,POP,5.4499655,5.571168,5.697558,5.82301,5.9461785,6.0722895,6.201232,6.3329445,6.4673235,6.6047255,6.6391825,6.62088,6.6738855,6.7397265,6.78324,6.581371,6.134991,5.6685505,5.2116525,5.088808,5.199872,5.2844955,5.436432,5.636203,5.845117,6.0437835,6.285693,6.55797,6.8120135,7.073473,7.374752,7.6868495,8.1130835,8.6163815,9.2391615,10.018497,10.8012695,11.570982,12.0581725,12.265731,12.4623365,12.658484,12.855241,13.050968,13.244731,13.439202,13.6390275,13.84177,14.0534795,14.27681,14.500726,14.722584,14.9450855,15.1702075,15.3967715,15.6232505,15.852803,16.0733725,16.2745215,16.481304,16.7254735,16.9743055,17.2017235,17.4238805,NA,17.6388005,17.8479815,18.0512195,18.2501455,18.446771,18639.3935
KIR,POP,0.0471565,0.048323,0.0495385,0.0507915,0.052088,0.053439,0.054425,0.054996,0.055529,0.05636,0.05751,0.058652,0.059778,0.0608235,0.0612195,0.060987,0.0606615,0.060267,0.0598645,0.0601715,0.0611475,0.0621215,0.063134,0.064169,0.0652275,0.0664965,0.0680595,0.0697325,0.0714265,0.0731475,0.0748545,0.0763665,0.0776415,0.078841,0.080021,0.0812345,0.0826225,0.0841475,0.0856575,0.087126,0.088613,0.0903345,0.092264,0.094175,0.0960845,0.0980355,0.1000175,0.102068,0.1042225,0.106467,0.108704,0.1106475,0.112284,0.1138385,0.1153265,0.116815,0.118478,0.1202745,0.1220835,0.1239205,0.126099,0.128377,0.1304685,0.1325305,NA,0.134518,0.1364885,0.138445,0.140399,0.1423255,144.2275
KNA,POP,0.05581,0.0553335,0.0544605,0.0534415,0.052326,0.0511395,0.0498985,0.0486045,0.0472445,0.045731,0.0446065,0.044206,0.044033,0.0438795,0.043738,0.0436065,0.043482,0.0433575,0.043217,0.043033,0.04285,0.042698,0.042532,0.042334,0.042113,0.0418745,0.0416185,0.041348,0.0410615,0.040758,0.040432,0.040358,0.0407145,0.0412415,0.0417765,0.042326,0.042877,0.043428,0.0439975,0.044601,0.0452475,0.0457605,0.0460205,0.0461765,0.0463145,0.046437,0.0465685,0.0467055,0.046835,0.0469165,0.0468465,0.0468855,0.047033,0.047069,0.047089,0.0470875,0.0470745,0.0470505,0.0470085,0.0469515,0.04687,0.046763,0.0467095,0.046758,NA,0.046843,0.0469215,0.0469915,0.0470535,0.047094,47.1165
KOR,POP,26.1153795,26.852951,27.509237,28.14554,28.744977,29.2843375,29.8459405,30.495728,31.17529,31.852761,32.542197,33.239853,33.9364655,34.6258495,35.287837,35.8757425,36.379925,36.843637,37.281935,37.710899,38.1411065,38.689189,39.3561545,40.000941,40.5983005,41.148963,41.7185045,42.3220915,42.922977,43.524767,44.081427,44.43915,44.653695,44.8877235,45.1308405,45.3684255,45.6386995,45.9415365,46.2308775,46.500383,46.766661,47.043468,47.2991205,47.5141605,47.6970755,47.851644,48.0065175,48.1781185,48.356493,48.5466865,48.7693325,49.1276435,49.5995795,50.0711645,50.5390555,50.9839115,51.297839,51.4862705,51.640894,51.767846,51.8584815,51.8483975,51.7825115,51.748739,NA,51.71759,51.6670295,51.600388,51.518845,51.42343,51314.016
