date_quarterly,iso3,year,exchange_rate,GDP-CAP,gdp_ppp_current_usd,GDP-PPP-CAP,gdp_current_usd,GDP-VOL,population,total_exports_usd_k,total_imports_usd_k,tariff_ahs_weighted,tariff_mfn_weighted,quarter
2019-09-30,APEC,2019,,18168.1167357696,71021285.28789812,24038.38569421724,53677449.28626996,52044351.22442742,2954.4233228391204,,,,,3
2019-12-31,APEC,2019,,18128.690005,71215548.98,24075.117433,53625682.806,52152792.284,2958.0561415,,,,,4
2020-03-31,APEC,2020,,17977.761527678416,70966833.05280064,23965.00473571663,53236741.391478606,51950266.25889392,2961.351404356799,,,,,1
2020-06-30,APEC,2020,,17810.447677508888,70513923.00549512,23788.50449207076,52793278.343292475,51607903.52888624,2964.3156443716916,,,,,2
2020-09-30,APEC,2020,,17746.14748322219,70166775.79115583,23650.1408107395,52650034.65847851,51347697.62590644,2966.9419849490046,,,,,3
2020-12-31,APEC,2020,,17909.89111,70252193.214,23660.616708,53177359.924,51404032.682,2969.161543,,,,,4
2021-03-31,APEC,2021,,18365.68771666629,70965509.47315755,23886.147925042456,54564721.88239398,51916167.41676373,2970.930794280533,,,,,1
2021-06-30,APEC,2021,,19020.831619326287,72126233.83783446,24264.655659811597,56539650.30048727,52751704.316147104,2972.4082508866522,,,,,2
2021-09-30,APEC,2021,,19730.039739458512,73445080.77515064,24697.79819043092,58672583.61716594,53699750.85805103,2973.7049163809284,,,,,3
2021-12-31,APEC,2021,,20332.6987,74602336.815,25077.036441,60488281.394,54527424.557,2974.926363,,,,,4
2022-03-31,APEC,2022,,20707.03197155098,75355670.77366985,25320.15512955059,61626214.60760584,55058455.4279406,2976.1466449299714,,,,,1
2022-06-30,APEC,2022,,20905.051621111452,75819476.36558813,25465.17314066384,62241925.70324282,55375121.93262478,2977.420819812404,,,,,2
2022-09-30,APEC,2022,,20996.216390435882,76148489.96141867,25564.195903005657,62541574.2237837,55589426.97577113,2978.7435527243565,,,,,3
2022-12-31,APEC,2022,,21054.163661,76503573.895,25671.528108,62743392.548,55818147.574,2980.094273,,,,,4
2023-03-31,APEC,2023,,21139.759262539683,77003165.15358125,25827.387296700635,63027275.330139115,56148056.5526207,2981.433071891345,,,,,1
2023-06-30,APEC,2023,,21264.61605760242,77649763.72463852,26032.42197016897,63428332.78278377,56580814.8023044,2982.7817701593262,,,,,2
2023-09-30,APEC,2023,,21425.899692843795,78399948.2665903,26272.262610801572,63937747.7118923,57085891.21491746,2984.113833255341,,,,,3
2023-12-31,APEC,2023,,21618.272709,79198412.733,26528.68719,64538922.426,57624646.522,2985.3875605,,,,,4
2024-03-31,APEC,2024,,21835.049607724533,79987757.65443039,26782.754597708597,65211280.518957,58156981.13440805,2986.563780663044,,,,,1
2024-06-30,APEC,2024,,22074.124323458844,80729163.52004732,27021.509478367283,65948494.5525308,58655363.73972626,2987.630760319596,,,,,2
2024-09-30,APEC,2024,,22334.373607116875,81381697.8187302,27231.321549188193,66747095.73096269,59090766.5296345,2988.5719510725694,,,,,3
2024-12-31,APEC,2024,,22609.114653,81887955.292,27393.247851,67586515.48,59423085.815,2989.3481685,,,,,4
2005-12-31,ARE,2005,3.6725,38719.213512,426561.4981,91442.808379,180617.0,258061.5157,4.66479,,,,,4
2006-03-31,ARE,2006,3.6725000000000008,41494.8252526992,442456.22357596736,93677.32229024275,197087.98730324904,267677.5194549423,4.716351417437228,,,,,1
2006-06-30,ARE,2006,3.6725,43184.21788781335,454254.6249520536,94635.94813632264,208498.33756684535,274815.32576280215,4.792229387574439,,,,,2
2006-09-30,ARE,2006,3.6725000000000003,44042.58611531534,462695.9903834906,94513.51841980373,216330.65662321704,279922.1897667341,4.890848042515122,,,,,3
2006-12-31,ARE,2006,3.6725,44342.696293,468523.8493,93534.537003,222117.0,283447.9325,5.0091,,,,,4
2007-03-31,ARE,2007,3.6725,44381.44731065628,472556.32647975703,91980.36805348753,227415.2782902951,285887.5037500448,5.141471617023172,,,,,1
2007-06-30,ARE,2007,3.6725000000000003,44450.26706045073,475817.4832516878,90041.93856569655,234028.6561783736,287860.44096231234,5.289785386225469,,,,,2
2007-09-30,ARE,2007,3.6725000000000003,44842.362308908,479161.19804011483,87945.03321909001,243655.2050607084,289883.32419315877,5.452158070927155,,,,,3
2007-12-31,ARE,2007,3.6725,45854.712871,483444.1244,85951.207034,257916.0,292474.4124,5.6246345,,,,,4
2008-03-31,ARE,2008,3.6724999999999994,47575.54944519047,489042.91779927193,84245.91875874571,277027.8294204213,295861.57491185854,5.801887208164412,,,,,1
2008-06-30,ARE,2008,3.6724999999999994,49390.19801882799,494667.6874199924,82682.44797525716,296730.48424272216,299264.4525469379,5.978745508094298,,,,,2
2008-09-30,ARE,2008,3.6725,50500.203401290724,498575.77235261665,81046.31101414126,311546.34361836786,301628.7689101632,6.149055996259383,,,,,3
2008-12-31,ARE,2008,3.6725,50054.227065,498874.256,79152.913185,315475.0,301809.3458,6.3026645,,,,,4
2009-03-31,ARE,2009,3.6725,47631.33232606257,494577.9983356355,76937.5287458415,305377.8247846422,299210.1924114519,6.430702411120514,,,,,1
2009-06-30,ARE,2009,3.6725,44005.49732593419,487241.0504696939,74547.28572023512,286561.15231188724,294771.47982820665,6.539139942739663,,,,,2
2009-09-30,ARE,2009,3.6725,40317.76160215177,479130.3139526228,72282.83902791495,266572.57165268867,289864.6399637658,6.63057609117637,,,,,3
2009-12-31,ARE,2009,3.6725,37803.012886,472719.1008,70480.842838,253547.0,285985.9791,6.707058,,,,,4
2010-03-31,ARE,2010,3.6725000000000003,37335.92586188775,469939.3412122425,69392.66575760076,253296.57568985576,284304.2779155651,6.77076880490534,,,,,1
2010-06-30,ARE,2010,3.6725000000000008,38516.15525873434,470586.20490785304,68905.02591662004,263573.97900302446,284695.61802379787,6.827975163936539,,,,,2
2010-09-30,ARE,2010,3.6725000000000008,40723.055231706836,474221.9840273266,68894.45095238737,280617.99229191244,286895.19457483,6.882637444553786,,,,,3
2010-12-31,ARE,2010,3.6725,43265.104463,480296.4562,69223.310484,300189.0,290570.1336,6.938363,,,,,4
2011-03-31,ARE,2011,3.6725,45520.45631216475,487950.2967607111,69730.85041250417,318365.66408971965,295200.560177216,6.997194527453018,,,,,1
2011-06-30,ARE,2011,3.6724999999999994,47438.56808830223,496311.9943534613,70278.8775176232,334816.94336623943,300259.2266694675,7.060973516300363,,,,,2
2011-09-30,ARE,2011,3.6725000000000003,48986.46765570525,504162.6817154741,70710.78200549129,349148.6762029588,305008.7417856189,7.128921389014279,,,,,3
2011-12-31,ARE,2011,3.6725,50119.707502,510151.7609,70860.084964,360833.0,308632.0197,7.1994235,,,,,4
2012-03-31,ARE,2012,3.6725,50830.258296442,513451.6865838892,70630.91827609552,369612.6114008522,310628.4113808126,7.270914280921925,,,,,1
2012-06-30,ARE,2012,3.6725,51204.27694269114,515132.172230721,70163.30287706852,376083.2935969849,311645.0729321322,7.344041245332786,,,,,2
2012-09-30,ARE,2012,3.6724999999999994,51332.14013907938,516648.62789010326,69647.0518874215,380900.01867348,312562.4994864931,7.419689181054601,,,,,3
2012-12-31,ARE,2012,3.6725,51301.043194,519458.6943,69287.779605,384610.0,314262.5357,7.4971185,,,,,4
2013-03-31,ARE,2013,3.6725,51201.16469525472,524483.3521760965,69226.585313029,387765.3363286671,317302.357221164,7.574774497401153,,,,,1
2013-06-30,ARE,2013,3.6725,51094.31141975568,531231.2389804046,69368.29832057543,391043.0222962475,321384.6991516261,7.655950058425988,,,,,2
2013-09-30,ARE,2013,3.672499999999999,51040.3255395494,538693.1792225329,69570.19713348863,395013.45762507245,325899.02970070206,7.741629184429587,,,,,3
2013-12-31,ARE,2013,3.6725,51101.483469,545720.4112,69679.656817,400219.0,330150.3701,7.831847,,,,,4
2014-03-31,ARE,2014,3.6725,51280.37555428345,551439.8450803879,69593.13758501121,406607.25307379215,333610.51776829484,7.925138171126204,,,,,1
2014-06-30,ARE,2014,3.6725000000000003,51378.84471248504,556580.8942439089,69378.66947784326,412604.4955263437,336720.7537937373,8.024217718555263,,,,,2
2014-09-30,ARE,2014,3.6725000000000008,51132.79311814247,561980.9013954957,69146.12664172552,415904.2617744621,339987.65443318046,8.128676315104132,,,,,3
2014-12-31,ARE,2014,3.6725,50274.530709,568454.1167,69013.32741,414105.0,343903.8254,8.2368745,,,,,4
2015-03-31,ARE,2015,3.6725000000000003,48693.08811096121,576441.8411617895,69064.87856029201,406061.1719652393,348736.24532692484,8.345529790516835,,,,,1
2015-06-30,ARE,2015,3.6724999999999994,46633.695506224954,585888.4216537847,69275.72112889598,393909.8053553196,354451.245141264,8.456353742356724,,,,,2
2015-09-30,ARE,2015,3.6725000000000003,44486.603751310824,596300.3599259232,69598.42750005543,380822.3498012571,360750.2678785617,8.567198752559955,,,,,3
2015-12-31,ARE,2015,3.6725,42684.802919,607032.7247,69977.914305,370275.0,367243.1425,8.674633,,,,,4
2016-03-31,ARE,2016,3.6725,41551.291672900734,617406.72987776,70356.0650367926,364857.6020926767,373519.2164498882,8.775469866375339,,,,,1
2016-06-30,ARE,2016,3.6725,40987.69704729801,626908.3505505619,70682.10916059742,363805.5912683834,379267.5145261631,8.869242020602922,,,,,2
2016-09-30,ARE,2016,3.6724999999999994,40822.57956095873,634964.4834839839,70902.38928060503,365744.7341891179,384141.32027340034,8.955271296906584,,,,,3
2016-12-31,ARE,2016,3.6725,40888.073611,640793.1052,70955.831756,369255.0,387667.5245,9.030873,,,,,4
2017-03-31,ARE,2017,3.6725,41040.38079420975,643944.8252961596,70814.28010195812,373118.0965423712,389574.25463926897,9.09376015676334,,,,,1
2017-06-30,ARE,2017,3.6725,41292.12942287042,645201.9215758694,70536.20642133731,377617.320660345,390334.77374297066,9.147566684155501,,,,,2
2017-09-30,ARE,2017,3.672499999999999,41693.409864443296,645418.0757620226,70202.54391210646,383265.07898405654,390465.54286380985,9.193961186419708,,,,,3
2017-12-31,ARE,2017,3.6725,42289.708822,645503.1316,69902.563728,390517.0,390517.0,9.234327,,,,,4
2018-03-31,ARE,2018,3.6725,43080.18947271849,646222.9216410236,69713.43726961991,399376.848179476,390952.4591426197,9.269509368502645,,,,,1
2018-06-30,ARE,2018,3.6725000000000003,43993.833411450454,647809.8803882423,69651.02117966353,409222.10714071145,391912.5387047435,9.300561709029514,,,,,2
2018-09-30,ARE,2018,3.6725000000000003,44909.10542037099,650373.9498708068,69731.49451375956,418886.4409615852,393463.7515051975,9.326689548579669,,,,,3
2018-12-31,ARE,2018,3.6725,45688.984655,653985.4415,69968.389579,427049.0,395648.6346,9.34687,,,,,4
2019-03-31,ARE,2019,3.6725,46192.82669007154,658326.2739780784,70330.48883365521,432371.0514975839,398274.7549121839,9.360562676382333,,,,,1
2019-06-30,ARE,2019,3.6725,46289.99341687951,662147.8456927777,70672.34496483963,433688.15810937324,400586.73243766156,9.369409709716303,,,,,2
2019-09-30,ARE,2019,3.6725000000000003,45805.58852462779,663714.6139758942,70799.31778685923,429403.2374110937,401534.59718197206,9.374714410243884,,,,,3
2019-12-31,ARE,2019,3.6725,44572.061979,661233.2754,70510.133098,417990.0,400033.435,9.3778475,,,,,4
2020-03-31,ARE,2020,3.6725000000000003,42576.915518122536,653879.410923953,69700.92016783592,399411.81084046024,395584.4881983439,9.381046220694623,,,,,1
2020-06-30,ARE,2020,3.6725,40265.30821286661,643928.9704131878,68577.24274282694,378049.9119665343,389564.6627476837,9.389660464159043,,,,,2
2020-09-30,ARE,2020,3.6725,38195.105652970655,634363.2561047229,67412.80789482204,359382.76727480575,383777.58926124306,9.410076922732307,,,,,3
2020-12-31,ARE,2020,3.6725,36987.046866,628456.5411,66513.726493,349473.0,380204.1401,9.448524,,,,,4
2021-03-31,ARE,2021,3.6725,37062.73714637144,628556.0010476119,66109.14305012913,352422.60070558195,380264.3114653434,9.507925466320257,,,,,1
2021-06-30,ARE,2021,3.6725000000000003,38213.299240005144,633980.3680589618,66128.0082835821,366398.64218433085,383545.9493617239,9.587289596359954,,,,,2
2021-09-30,ARE,2021,3.6725000000000003,40119.30973852405,643542.317082668,66463.75598974247,388467.5985744944,389330.7449250495,9.682773477256276,,,,,3
2021-12-31,ARE,2021,3.6725,42412.602329,655823.2207,66995.607816,415179.0,396760.4558,9.789048,,,,,4
2022-03-31,ARE,2022,3.6724999999999994,44702.913484121076,669183.4783756458,67594.14146937605,442669.5479000191,404843.1551418391,9.899291960203172,,,,,1
2022-06-30,ARE,2022,3.6725,46814.703485967206,682952.8944307044,68192.62132555644,469057.09401293256,413173.38743911684,10.013794084944962,,,,,2
2022-09-30,ARE,2022,3.6724999999999994,48504.74023472714,696073.3988215462,68710.42419675415,491552.17563742906,421111.0406402121,10.129532541181318,,,,,3
2022-12-31,ARE,2022,3.6725,49507.881036,707308.9076,69059.064049,507064.0,427908.3077,10.2420865,,,,,4
2023-03-31,ARE,2023,3.6724999999999994,49674.11672373023,715724.3244648906,69181.19928806297,513688.0615773338,432999.4733174947,10.346768478361001,,,,,1
2023-06-30,ARE,2023,3.6725000000000003,49203.02947664358,722082.298772339,69124.97999172362,513632.77635800553,436845.9257055949,10.447712365141205,,,,,2
2023-09-30,ARE,2023,3.6725000000000003,48344.31380942362,727071.6702716085,68950.76883048467,509510.6941908527,439864.3996803259,10.546079434394095,,,,,3
2023-12-31,ARE,2023,3.6725,47375.414639,731384.6055,68725.713091,504173.0,442473.6427,10.642081,,,,,4
2024-03-31,ARE,2024,,46578.55445149848,735742.601348242,68519.16468660308,500523.5877847959,445110.14652355644,10.736030944345686,,,,,1
2024-06-30,ARE,2024,,46209.76922792223,740942.5450516054,68394.06919723887,501295.9942291469,448256.01262132614,10.830285243659716,,,,,2
2024-09-30,ARE,2024,,46543.96312483693,747818.4342145338,68416.96238688647,509418.65564390516,452415.7935239096,10.927213289164431,,,,,3
2024-12-31,ARE,2024,,47863.410322,757091.8674,68657.206005,527796.0,458026.0425,11.027129,,,,,4
2005-12-31,ARG,2005,2.9036575,5115.7223362,755568.4369,19266.453132,200622.206,467891.6609,39.2167895,,,,,4
2006-03-31,ARG,2006,2.9446823731947496,5347.602973546634,768264.4920925772,19538.84963989174,210383.39993675952,475753.7923481404,39.3189043443084,,,,,1
2006-06-30,ARG,2006,2.9847841557178727,5543.050205752243,782842.7039053777,19858.16404205509,218640.0749202358,484781.4639855002,39.420482905852026,,,,,2
2006-09-30,ARG,2006,3.0220955678275394,5724.977059751225,799037.7418764022,20217.204443154733,226337.0747243043,494810.36785081174,39.521812121789615,,,,,3
2006-12-31,ARG,2006,3.0543133333,5915.6668946,816370.1746,20603.902003,234391.234,505543.6123,39.622115,,,,,4
2007-03-31,ARG,2007,3.0791232350856683,6134.327417737823,834110.9421075141,21000.511452720588,243590.73149498148,516529.72125044995,39.71957854214034,,,,,1
2007-06-30,ARG,2007,3.09568198274578,6411.393432611781,852522.2752926142,21411.48840839177,255196.8794435173,527931.0832344864,39.817797417909276,,,,,2
2007-09-30,ARG,2007,3.101885349673147,6772.926666278975,871296.8223683828,21828.516205657706,270284.3805303694,539557.3682571361,39.91710309366538,,,,,3
2007-12-31,ARG,2007,3.0956488492,7240.8441183,889905.9492,22238.329202,289755.143,551081.2155,40.016763,,,,,4
2008-03-31,ARG,2008,3.079009418282875,7807.916656892838,907370.0319970568,22616.963389037315,313321.9429349026,561895.9852748815,40.11603746905611,,,,,1
2008-06-30,ARG,2008,3.0680877196419725,8379.759606645457,921284.2278019071,22905.365829754275,337157.71590426035,570512.4597821352,40.21638528588645,,,,,2
2008-09-30,ARG,2008,3.082957856235775,8836.847546592002,928613.7928532619,23029.128249536887,356414.87974465813,575051.3502253863,40.31932108165647,,,,,3
2008-12-31,ARG,2008,3.1441645599,9045.1968709,926011.509,22907.38469,365644.377,573439.8656,40.424148,,,,,4
2009-03-31,ARG,2009,3.2604495543023764,8935.493953345305,912542.7963870079,22519.125521681384,362010.02925193845,565099.2600257732,40.52873456352762,,,,,1
2009-06-30,ARG,2009,3.413489587142364,8640.636755993768,893751.6436567111,21998.812516785234,350930.0036908778,553462.6918078852,40.63602225007128,,,,,2
2009-09-30,ARG,2009,3.574156089065965,8342.084618850386,877265.9260427607,21533.85643679983,339769.6392703731,543253.7823133739,40.74535216039522,,,,,3
2009-12-31,ARG,2009,3.7101068305,8233.0383401,871205.2847,21324.412888,336359.39,539500.6828,40.854831,,,,,4
2010-03-31,ARG,2010,3.797003182340365,8446.775570748663,880793.1484461704,21500.03939634286,346090.10713030666,545438.0423938772,40.96156356273494,,,,,1
2010-06-30,ARG,2010,3.8467729587423554,8932.641803195715,902530.3204298128,21972.106923511375,366974.31746925757,558898.9560852975,41.06935468901912,,,,,2
2010-09-30,ARG,2010,3.874555972327119,9596.462023581706,930828.314854468,22602.43417283172,395235.50956398976,576422.7103509647,41.17864282303609,,,,,3
2010-12-31,ARG,2010,3.8962951545,10329.400106,959418.2888,23236.828475,426487.435,594127.2752,41.2886935,,,,,4
2011-03-31,ARG,2011,3.9256366355790884,11025.193559464073,982730.8750326018,23739.764613695137,456399.660552317,608563.7764337308,41.39735726261538,,,,,1
2011-06-30,ARG,2011,3.968756692885366,11670.98768178814,1000411.8526741174,24102.222479471526,484440.0204038385,619512.8600179311,41.50783012012235,,,,,2
2011-09-30,ARG,2011,4.029303601625977,12241.193705776537,1012005.9725860605,24315.553077514607,509488.40682300844,626692.6093837201,41.619536783279365,,,,,3
2011-12-31,ARG,2011,4.110139576,12704.284347,1017021.3,24371.080827,530158.177,629798.3901,41.7306605,,,,,4
2012-03-31,ARG,2012,4.210788809452674,13045.35811005814,1015865.5002615773,24281.133527425467,545765.9783518963,629082.6521294562,41.839512686824385,,,,,1
2012-06-30,ARG,2012,4.322873783637376,13306.68452201083,1011444.8984771611,24114.23015266632,558099.1136770783,626345.1599932285,41.94723435150727,,,,,2
2012-09-30,ARG,2012,4.435980810338545,13539.398698371677,1007156.737083758,23950.13072594865,569331.0949424509,623689.6826000081,42.05502299346123,,,,,3
2012-12-31,ARG,2012,4.5369343602,13790.492497,1006582.384,23874.318889,581430.904,623334.01,42.1617215,,,,,4
2013-03-31,ARG,2013,4.62556065865143,14078.92928147242,1011826.0834673758,23938.000193945703,595150.4052230893,626581.2118694342,42.26518989151926,,,,,1
